t_ns,x,y,z,deviation_m
1780651955831094763,0.3971037187323554,0.026389770386792022,0.2836324388903378,7.550859378445547e-05
1780651955841946153,0.39710388498995147,0.026223987071227178,0.2833711434426756,6.632647614440548e-05
1780651955851528746,0.39710363383863334,0.026083594898602538,0.283149410025729,5.825940860995876e-05
1780651955860708770,0.3971030827753916,0.025940463588755965,0.28292343996947417,5.005158913746015e-05
1780651955871697365,0.39710302458067975,0.02579394230108708,0.282696482218023,4.417519948542203e-05
1780651955882557680,0.39710325494937904,0.025625072587824857,0.28243757136441483,3.897212054560098e-05
1780651955892050402,0.39710375005604537,0.025438823342908964,0.2821541967762771,3.455535233096674e-05
1780651955902797784,0.39710372368804864,0.02527990124361846,0.2819122429331794,3.0631150802563056e-05
1780651955913708830,0.39710341527993887,0.02514008260238912,0.28169942420595223,2.7149056822955958e-05
1780651955923121508,0.3971034006869867,0.024948998261889538,0.28147619624059683,5.8977993988704674e-05
1780651955933537274,0.39710359888976904,0.024720732898954836,0.28124794482789545,0.00011947013540981806
1780651955943572309,0.397103389678474,0.024527556833029717,0.2810515876948257,0.00016910437111500347
1780651955953619303,0.39710349797384564,0.024288851594551818,0.2808422816711626,0.00024922112956016613
1780651955963911998,0.39710322716552715,0.02408750807738718,0.2806630563955317,0.0003153227894148171
1780651955974961430,0.39710328968121283,0.02384153130415575,0.2804687075785065,0.00039096888817800836
1780651955984305166,0.3971029948895174,0.0236338280532267,0.2803025995789063,0.0003426936401438319
1780651955995166680,0.3971030404766068,0.023382275008844954,0.28011974813480206,0.00030038739618049157
1780651956006041057,0.3971027421465887,0.023169685026928906,0.2799637180466788,0.00026330523450126793
1780651956015250402,0.3971027866893464,0.022913848408828662,0.27978970053644675,0.00023081386291230402
1780651956026472937,0.3971024954979146,0.022697504365055517,0.2796414137127688,0.00020233283130809062
1780651956036193986,0.3971025471864313,0.022438377102725934,0.2794741836629329,0.00017738520868789345
1780651956046046508,0.3971022681245411,0.022219149133477285,0.2793318463238862,0.00015551427571606957
1780651956056459748,0.39710233066801703,0.02195749399461136,0.27916983135537804,0.00013636631100303215
1780651956066653424,0.3971020654872901,0.021736050541795275,0.2790320652746042,0.00011957624172413873
1780651956080665018,0.39710214004696537,0.021472453380801032,0.278874057274814,0.00010488904731973352
1780651956090758511,0.39710188871965457,0.021249307887088016,0.27873980351110844,9.200556589929509e-05
1780651956099300751,0.39710180179615506,0.02097340319230165,0.2786395316394555,0.00013382467659757172
1780651956109591599,0.39710146893069076,0.02074070820307465,0.27854965020199085,0.00016445847904777362
1780651956120188543,0.39710136953245795,0.02045629192595751,0.27848898271265426,0.0002452703783939033
1780651956130780056,0.3971010375639486,0.020216155959054287,0.27843373523804976,0.00030997806003883114
1780651956140669877,0.3971009762750942,0.01992521518416618,0.27840343465113065,0.0004206837920965744
1780651956151673955,0.3971006786876449,0.019679363178365016,0.27837480451239055,0.0005115724491598245
1780651956164815798,0.3971006702896404,0.019383411757333203,0.278367835127073,0.0005102121670485538
1780651956173938311,0.3971004151166855,0.01913316974362489,0.27835965639772225,0.0004472194305126117
1780651956182957724,0.3971004578860332,0.018833370099429533,0.27837061356742426,0.00039200433509119865
1780651956193524484,0.3971007175370118,0.01850035309782,0.2783960404670824,0.0003436080445119173
